customerID,MultipleLines
8229-MYEJZ,No
2080-SRCDE,Yes
9577-WJVCQ,Yes
9512-UIBFX,No
6202-DYYFX,Yes
3808-HFKDE,No
5583-SXDAG,No
3488-PGMQJ,No
3580-REOAC,No
7534-BFESC,Yes
3727-OWVYD,No
2294-SALNE,No
4847-TAJYI,No
1563-IWQEX,No
8203-XJZRC,No
6556-DBKZF,No
6851-WEFYX,Yes
2985-JUUBZ,Yes
6390-DSAZX,No
0895-LMRSF,No
8098-LLAZX,Yes
8266-VBFQL,No
2240-HSJQD,Yes
1248-DYXUB,Yes
0265-EDXBD,Yes
4115-BNPJY,No
3167-SNQPL,Yes
4091-TVOCN,Yes
1098-TDVUQ,No
7277-OZCGZ,No
1557-EMYVT,Yes
2799-ARNLO,No
7563-BIUPC,No
5027-YOCXN,Yes
3973-SKMLN,No
2321-OMBXY,No
2840-XANRC,No
6745-JEFZB,Yes
5020-ZSTTY,Yes
8705-WZCYL,No
7102-JJVTX,No
4983-CLMLV,Yes
5701-YVSVF,No
5804-LEPIM,No
2739-CACDQ,Yes
9385-EHGDO,No
9498-FIMXL,No
2379-GYFLQ,Yes
0122-OAHPZ,Yes
2868-SNELZ,Yes
4322-RCYMT,Yes
6680-NENYN,Yes
2088-IEBAU,Yes
7982-VCELR,No
1343-EHPYB,Yes
6035-BXTTY,No
6885-PKOAM,Yes
7520-HQWJU,Yes
9639-BUJXT,No
5924-SNGKP,No
0021-IKXGC,Yes
2034-GDRCN,No
8966-SNIZF,No
4654-DLAMQ,No
0513-RBGPE,Yes
5160-UXJED,No
4115-NZRKS,No
0219-YTZUE,Yes
4572-DVCGN,No
3351-NGXYI,Yes
8984-EYLLL,Yes
9833-TGFHX,Yes
9294-TDIPC,No
5229-DTFYB,No
0104-PPXDV,No
5176-LMJXE,No
3583-KRKMD,No
1010-DIAUQ,No
9069-LGEUL,No
7302-ZHMHP,No
9571-EDEBV,Yes
3520-FJGCV,Yes
6563-VRERX,No
0259-GBZSH,Yes
2805-EDJPQ,Yes
6862-CQUMB,No
7156-MXBJE,Yes
9601-BRXPO,Yes
2863-IMQDR,Yes
5686-CMAWK,Yes
5651-CRHKQ,No
6905-NIQIN,No
5167-ZFFMM,Yes
6583-SZVGP,Yes
4895-TMWIR,No
0533-BNWKF,Yes
8782-LKFPK,Yes
5522-JBWMO,No
3597-MVHJT,Yes
9774-NRNAU,Yes
0224-RLWWD,No
9967-ATRFS,No
3951-NJCVI,Yes
2977-CEBSX,Yes
0177-PXBAT,Yes
6599-CEBNN,No
5876-QMYLD,No
2277-AXSDC,No
9442-JTWDL,No
0979-PHULV,Yes
3067-SVMTC,No
5495-GPSRW,No
7606-BPHHN,No
4742-DRORA,Yes
0111-KLBQG,No
4800-VHZKI,No
7989-CHGTL,No
0334-GDDSO,Yes
4163-NCJAK,Yes
5233-AOZUF,Yes
5973-EJGDP,Yes
1996-DBMUS,No
7916-VCCPB,No
4686-GEFRM,Yes
5249-QYHEX,Yes
0578-SKVMF,No
5564-NEMQO,No
2233-FAGXV,Yes
5605-IYGFG,No
7663-ZTEGJ,Yes
3935-TBRZZ,Yes
2055-SIFSS,Yes
2806-MLNTI,Yes
8734-DKSTZ,Yes
4360-PNRQB,Yes
6152-ONASV,Yes
9063-ZGTUY,No
2181-UAESM,No
2957-LOLHO,No
6048-NJXHX,No
4980-URKXC,No
4376-KFVRS,Yes
5886-VLQVU,Yes
3577-AMVUX,No
0771-WLCLA,Yes
5628-RKIFK,Yes
0206-TBWLC,Yes
2937-FTHUR,Yes
1910-FMXJM,No
7752-XUSCI,Yes
4110-PFEUZ,No
0732-OCQOC,Yes
5168-MSWXT,No
1090-ESELR,No
8592-PLTMQ,Yes
5760-WRAHC,No
0256-LTHVJ,No
4785-FCIFB,Yes
8313-NDOIA,Yes
5149-CUZUJ,No
0942-KOWSM,No
4237-CLSMM,No
1452-VOQCH,Yes
4719-UMSIY,No
6614-VBEGU,No
0880-TKATG,Yes
3811-VBYBZ,Yes
1480-BKXGA,Yes
9076-AXYIK,Yes
5968-XQIVE,Yes
8896-RAZCR,No
4640-UHDOS,No
4933-IKULF,No
3583-EKAPL,No
1304-BCCFO,No
4104-PVRPS,No
9399-APLBT,No
2359-KMGLI,Yes
3780-DDGSE,No
4431-EDMIQ,No
0306-JAELE,No
6227-HWPWX,No
0486-LGCCH,No
4612-SSVHJ,No
5168-MQQCA,Yes
5949-XIKAE,No
7971-HLVXI,Yes
9094-AZPHK,Yes
3649-JPUGY,Yes
8372-JUXUI,Yes
3552-CTCYF,Yes
6778-YSNIH,No
0388-EOPEX,No
5756-OZRIO,Yes
6579-JPICP,No
4134-BSXLX,No
0505-SPOOW,No
7783-YKGDV,Yes
4374-YMUSQ,Yes
4513-CXYIX,Yes
3957-HHLMR,Yes
7803-XOCCZ,No
5736-YEJAX,Yes
5609-CEBID,Yes
8981-FJGLA,Yes
7218-HKQFK,No
4636-QRJKY,Yes
1135-LMECX,No
4332-MUOEZ,No
8535-SFUTN,Yes
5956-VKDTT,Yes
8677-HDZEE,Yes
2475-MROZF,Yes
9412-GHEEC,Yes
3482-ABPKK,No
6705-LXORM,No
0257-ZESQC,No
7531-GQHME,No
5174-ITUMV,Yes
4109-CYRBD,Yes
0913-XWSCN,Yes
6825-UYPFK,Yes
8397-MVTAZ,Yes
0750-EBAIU,No
8606-CIQUL,Yes
3571-DPYUH,Yes
7601-GNDYK,No
0356-OBMAC,Yes
8067-NIOYM,No
1403-GYAFU,No
4234-XTNEA,No
1297-VQDRP,Yes
9282-IZGQK,Yes
5348-CAGXB,Yes
0621-HJWXJ,Yes
5844-QVTAT,No
8905-IAZPF,No
5394-MEITZ,No
6859-QNXIQ,Yes
2782-LFZVW,Yes
2866-IKBTM,No
1342-JPNKI,Yes
7129-AZJDE,No
6986-IJDHX,No
2560-PPCHE,Yes
4676-MQUEA,Yes
8138-EALND,No
3580-HYCSP,Yes
1352-HNSAW,Yes
2075-PUEPR,No
1982-FEBTD,Yes
5301-GAUUY,Yes
5791-KAJFD,Yes
2654-VBVPB,No
1154-HYWWO,No
2501-XWWTZ,No
3716-UVSPD,No
6815-ABQFQ,Yes
7343-EOBEU,Yes
3701-SFMUH,No
6103-LIANB,Yes
7319-VENRZ,No
5846-NEQVZ,No
6967-QIQRV,No
5781-RFZRP,Yes
0939-YAPAF,Yes
7293-LSCDV,No
7025-WCBNE,Yes
5756-JYOJT,No
4710-FDUIZ,Yes
6030-REHUX,Yes
9548-LIGTA,No
5150-LJNSR,Yes
8270-RKSAP,No
6522-YRBXD,Yes
2640-LYMOV,No
1218-VKFPE,No
3627-FHKBK,No
2865-TCHJW,Yes
1423-BMPBQ,No
2393-DIVAI,No
5192-EBGOV,Yes
4568-KNYWR,No
8752-IMQOS,No
0742-LAFQK,Yes
0795-LAFGP,Yes
0619-OLYUR,Yes
5512-IDZEI,Yes
0459-SPZHJ,Yes
0215-BQKGS,No
9244-ZVAPM,No
0719-SYFRB,Yes
5172-MIGPM,Yes
1710-RCXUS,Yes
0374-FIUCA,No
5839-SUYVZ,No
5173-ZXXXL,No
1096-ADRUX,Yes
2001-MCUUW,Yes
2731-GJRDG,Yes
4723-BEGSG,Yes
6516-NKQBO,No
8672-OAUPW,No
8207-DMRVL,Yes
3419-SNJJD,Yes
4765-OXPPD,No
2804-ETQDK,No
6689-VRRTK,Yes
7138-GIRSH,Yes
9396-ZSFLL,Yes
7134-MJPDY,Yes
5240-CAOYT,Yes
4059-IIEBK,Yes
0516-UXRMT,Yes
4851-BQDNX,No
5148-HKFIR,No
1009-IRMNA,No
3003-CMDUU,No
5016-IBERQ,Yes
6797-UCJHZ,Yes
2469-DTSGX,Yes
4554-YGZIH,Yes
5099-BAILX,Yes
9931-KGHOA,Yes
1775-KWJKQ,Yes
7665-VIGUD,No
7207-RMRDB,Yes
7954-MLBUN,No
2077-DDHJK,Yes
4913-EHYUI,Yes
0195-IESCP,Yes
9574-BOSMD,Yes
4580-TMHJU,No
0970-ETWGE,No
4908-XAXAY,No
8404-VLQFB,Yes
1626-ERCMM,Yes
0887-HJGAR,No
2391-IPLOP,Yes
5644-PDMZC,Yes
3509-GWQGF,No
9576-ANLXO,No
2024-BASKD,No
5845-BZZIB,No
1140-UKVZG,Yes
4160-AMJTL,No
5183-SNMJQ,No
8100-PNJMH,Yes
7838-LAZFO,No
4464-JCOLN,No
2085-JVGAD,No
8095-WANWK,No
3030-ZKIWL,No
9565-FLVCG,Yes
8755-OGKNA,No
2800-VEQXM,No
7538-GWHML,No
3859-CVCET,No
5642-MHDQT,No
3088-FVYWK,Yes
3276-HDUEG,Yes
9092-GDZKO,Yes
3729-OWRVL,Yes
2324-AALNO,Yes
5760-IFJOZ,Yes
2826-UWHIS,Yes
1448-PWKYE,No
7501-IWUNG,No
4957-TREIR,No
7251-LJBQN,Yes
8040-MNRTF,No
1536-HBSWP,No
5313-FPXWG,Yes
0067-DKWBL,No
5076-YVXCM,Yes
8262-COGGB,No
6663-JOCQO,Yes
9620-QJREV,No
2276-YDAVZ,Yes
2682-KEVRP,No
2480-JZOSN,No
0078-XZMHT,Yes
5896-NPFWW,No
9978-HYCIN,No
8338-QIUNR,Yes
1525-LNLOJ,Yes
9450-TRJUU,Yes
1766-GKNMI,Yes
6942-LBFDP,No
1456-TWCGB,No
7133-VBDCG,No
7596-ZYWBB,No
8329-UTMVM,Yes
3014-WJKSM,No
3347-YJZZE,Yes
1029-QFBEN,No
7929-DMBCV,No
9661-JALZV,Yes
5433-KYGHE,Yes
4312-KFRXN,Yes
5575-TPIZQ,Yes
9944-AEXBM,Yes
6952-OMNWB,Yes
4697-LUPSU,No
8434-VGEQQ,No
4952-YSOGZ,Yes
1589-AGTLK,No
5244-IRFIH,Yes
6549-YMFAW,No
4950-HKQTE,Yes
6786-OBWQR,No
2684-EIWEO,Yes
2753-JMMCV,Yes
6439-GTPCA,Yes
6621-YOBKI,No
1216-JWVUX,No
7564-GHCVB,Yes
1173-NOEYG,Yes
6647-ZEDXT,Yes
2521-NPUZR,No
1307-TVUFB,Yes
7503-MIOGA,Yes
4381-MHQDC,Yes
6923-JHPMP,No
5138-WVKYJ,Yes
4018-PPNDW,Yes
1635-FJFCC,No
2499-AJYUA,Yes
6919-ELBGL,Yes
3966-HRMZA,No
6425-JWTDV,No
8405-IGQFX,No
8224-IVVPA,No
9477-LGWQI,No
1410-RSCMR,No
3115-CZMZD,No
0139-IVFJG,No
6683-VLCTZ,Yes
5730-DBDSI,No
0030-FNXPP,No
2189-WWOEW,No
5684-FJVYR,Yes
4013-GUXND,No
1894-IGFSG,No
7379-POKDZ,No
1266-NZYUI,Yes
7969-FFOWG,No
5175-WLYXL,Yes
7817-OMJNA,No
8728-SKJLR,No
3137-NYQQI,No
7706-DZNKK,No
0236-HFWSV,Yes
3900-AQPHZ,No
5842-POCOP,No
2037-XJFUP,No
8823-RLPWL,Yes
7314-OXENN,Yes
3758-CKOQL,Yes
0322-CHQRU,No
5676-CFLYY,No
7521-AFHAB,No
0285-INHLN,No
4678-DVQEO,No
0691-IFBQW,Yes
4992-LTJNE,Yes
2202-OUTMO,Yes
0810-BDHAW,Yes
0229-LFJAF,Yes
3442-ZHHCC,Yes
5726-CVNYA,No
9871-ELEYA,No
5173-WXOQV,No
2040-OBMLJ,Yes
6286-ZHAOK,Yes
3807-XHCJH,No
3009-JWMPU,Yes
5671-RQRLP,Yes
1450-GALXR,Yes
8859-AXJZP,Yes
3174-AKMAS,No
3138-BKYAV,No
9926-PJHDQ,Yes
7382-DFJTU,No
2798-NYLMZ,Yes
4289-DTDKW,Yes
1820-TQVEV,No
2239-JALAW,Yes
4853-RULSV,Yes
8098-TDCBU,Yes
4785-NKHCX,No
3196-NVXLZ,Yes
6275-YDUVO,No
0036-IHMOT,No
0115-TFERT,Yes
4178-EGMON,Yes
4220-TINQT,Yes
5318-YKDPV,No
7975-TZMLR,Yes
0295-QVKPB,No
4335-BSMJS,Yes
2311-QYMUQ,No
3643-AHCFP,Yes
9146-JRIOX,Yes
3104-OWCGK,No
9101-BWFSS,Yes
9650-VBUOG,Yes
3487-EARAT,No
2672-TGEFF,Yes
9231-ZJYAM,No
4250-WAROZ,Yes
8184-WMOFI,No
6982-SSHFK,No
6092-QZVPP,No
4625-LAMOB,No
0727-BMPLR,Yes
0392-BZIUW,Yes
1038-ZAGBI,No
3027-ZTDHO,No
0422-OHQHQ,No
6916-HIJSE,No
9778-OGKQZ,Yes
7408-OFWXJ,Yes
6007-TCTST,Yes
2252-NKNSI,Yes
8713-IGZSO,Yes
7905-TVXTA,No
7695-PKLCZ,No
2382-BCKQJ,Yes
8374-UULRV,Yes
2207-NHRJK,No
3224-DFQNQ,Yes
4795-UXVCJ,No
9777-IQHWP,Yes
0947-MUGVO,No
9944-HKVVB,No
4124-MMETB,Yes
3671-SHRSP,No
2732-ISEZX,No
3313-QKNKB,Yes
0323-XWWTN,Yes
1937-OTUKY,Yes
1573-LGXBA,No
1764-VUUMT,No
4713-ZBURT,Yes
0207-MDKNV,No
7945-HLKEA,Yes
9342-VNIMQ,Yes
9851-KIELU,No
3523-BRGUW,No
3908-BLSYF,No
3199-NPKCN,Yes
4661-NJEUX,No
2123-AGEEN,No
1258-YMZNM,Yes
0048-LUMLS,No
7549-MYGPK,Yes
5898-IGSLP,Yes
3804-RVTGV,Yes
6259-WJQLC,Yes
7997-EASSD,Yes
0730-KOAVE,Yes
8975-SKGRX,Yes
0678-RLHVP,Yes
4315-MURBD,No
2267-FPIMA,Yes
1051-GEJLJ,No
9734-YWGEX,Yes
2719-BDAQO,No
5285-MVEHD,No
0379-DJQHR,No
0781-LKXBR,Yes
5543-QDCRY,No
0297-RBCSG,No
4694-PHWFW,No
0835-JKADZ,Yes
1907-UBQFC,No
7508-SMHXL,Yes
3865-YIOTT,Yes
5993-BQHEA,No
6024-RUGGH,Yes
6513-EECDB,Yes
3956-CJUST,No
6103-BOCOU,Yes
5149-TGWDZ,No
7471-WNSUF,Yes
8942-DBMHZ,No
4301-VVZKA,Yes
9199-PWQVC,Yes
4824-GUCBY,No
5393-HJZSM,No
7074-IEVOJ,Yes
9625-QSTYE,No
0862-PRCBS,Yes
8812-ZRHFP,No
5146-CBVOE,No
0454-OKRCT,No
5787-KXGIY,No
4750-ZRXIU,Yes
6630-UJZMY,Yes
5709-LVOEQ,No
6400-BWQKW,Yes
2692-AQCPF,Yes
0347-UBKUZ,No
0835-DUUIQ,No
7567-ECMCM,No
6353-BRMMA,Yes
6680-WKXRZ,Yes
6231-WFGFH,No
9904-EHEVJ,Yes
7028-DVOIQ,Yes
6169-PPETC,No
4208-UFFGW,No
8584-KMVXD,No
8467-WYNSR,No
0851-DFJKB,No
5382-SOYZL,Yes
9448-REEVD,No
3261-CQXOL,Yes
8388-FYNPZ,No
4002-BQWPQ,Yes
5651-YLPRD,No
4378-BZYFP,No
9489-UTFKA,No
4849-PYRLQ,Yes
9117-SHLZX,No
9889-TMAHG,No
4541-RMRLG,No
7764-BDPEE,No
3429-IFLEM,No
3158-MOERK,Yes
7294-TMAOP,No
5002-GCQFH,Yes
0556-FJEGU,No
0604-THJFP,No
2834-JRTUA,Yes
5875-YPQFJ,No
5879-SESNB,Yes
6646-QVXLR,Yes
6461-PPAXN,No
3318-ISQFQ,No
1106-HRLKZ,No
2483-XSSMZ,No
8603-IJWDN,Yes
8165-ZJRNM,Yes
9369-XFEHK,Yes
2604-XVDAM,No
3717-OFRTN,No
9046-JBFWA,No
3280-NMUVX,No
1206-EHBDD,No
8361-LBRDI,Yes
4883-KCPZJ,Yes
9108-EQPNQ,Yes
7277-KAMWT,No
3842-IYKUE,Yes
6641-XRPSU,No
1374-DMZUI,Yes
2545-LXYVJ,No
3234-VKACU,No
8357-EQXFO,No
1989-PRJHP,Yes
8120-JDCAM,No
8917-FAEMR,No
7047-YXDMZ,No
2858-EIMXH,Yes
9524-EGPJC,Yes
6993-OHLXR,No
8818-XYFCQ,Yes
6419-ZTTLE,No
0929-HYQEW,No
7426-RHZGU,No
4065-JJAVA,No
4695-VADHF,No
3863-IUBJR,No
7649-SIJJF,Yes
9361-YNQWJ,Yes
9391-TTOYH,No
1452-XRSJV,No
3422-WJOYD,No
8242-SOQUO,No
7460-ITWWP,No
7147-AYBAA,No
7868-TMWMZ,No
4822-RVYBB,Yes
6732-FZUGP,Yes
8436-BJUMM,Yes
4184-TJFAN,No
8329-GWVPJ,No
1352-VHKAJ,Yes
4145-UQXUQ,No
2632-TACXW,Yes
8146-QQKZH,No
1767-CJKBA,Yes
6445-TNRXS,Yes
4869-EPIUS,No
9948-YPTDG,No
1236-WFCDV,No
1915-OAKWD,No
7296-PIXQY,No
4883-QICIH,No
3354-OADJP,No
3524-WQDSG,Yes
0810-DHDBD,Yes
4026-SKKHW,No
2829-HYVZP,No
8329-IBCTI,No
7013-PSXHK,Yes
5981-ITEMU,Yes
3486-NPGST,No
6941-PMGEP,No
1624-WOIWJ,No
2074-GKOWZ,No
0376-YMCJC,Yes
6100-FJZDG,No
4829-ZLJTK,Yes
1730-VFMWO,No
7143-BQIBA,No
3800-LYTRK,No
0634-SZPQA,Yes
9646-NMHXE,No
7030-NJVDP,No
5536-RTPWK,Yes
8883-GRDWQ,No
6166-ILMNY,No
3097-NNSPB,No
0655-RBDUG,Yes
2111-DWYHN,No
4194-WHFCB,Yes
4121-AGSIN,Yes
4361-BKAXE,Yes
9845-PEEKO,Yes
0455-XFASS,No
0301-KOBTQ,No
1751-NCDLI,Yes
4367-NUYAO,Yes
9878-TNQGW,No
9170-ARBTB,No
4441-NIHPT,No
8999-BOHSE,No
7241-AJHFS,Yes
7029-RPUAV,Yes
4546-FOKWR,Yes
9036-CSKBW,Yes
5832-TRLPB,No
8590-YFFQO,No
8659-IOOPU,Yes
1338-CECEE,Yes
7439-DKZTW,No
4646-QZXTF,No
4607-CHPCA,No
9742-XOKTS,Yes
6921-OZMFH,Yes
9578-FOMUK,Yes
4712-UYOOI,No
8824-RWFXJ,No
7722-CVFXN,Yes
8717-VCTXJ,No
7363-QTBIW,No
4159-NAAIX,Yes
0971-QIFJK,Yes
9397-TZSHA,Yes
3391-JSQEW,No
9763-PDTKK,No
2176-LVPNX,Yes
7627-JKIAZ,Yes
3312-UUMZW,Yes
1271-UODNO,Yes
8461-EFQYM,Yes
6900-RBKER,Yes
6891-JPYFF,Yes
1047-NNCBF,No
3696-XRIEN,Yes
0074-HDKDG,No
8791-GFXLZ,No
8111-SLLHI,Yes
0927-LCSMG,No
9330-DHBFL,No
0098-BOWSO,No
3452-ABWRL,Yes
5859-HZYLF,No
8257-RZAHR,Yes
5293-WXJAK,Yes
3156-QLHBO,No
2208-NQBCT,No
1779-PWPMG,Yes
6621-NRZAK,No
0831-JNISG,No
0774-IFUVM,Yes
3082-WQRVY,No
9553-DLCLU,Yes
1641-BYBTK,No
2460-NGXBJ,Yes
2446-ZKVAF,Yes
3522-CDKHF,No
0411-EZJZE,Yes
7851-WZEKY,Yes
8844-TONUD,No
8992-CEUEN,No
4320-QMLLA,No
8777-PVYGU,No
8292-ITGYJ,Yes
6870-ZWMNX,Yes
0621-CXBKL,No
5268-DSMNQ,Yes
5334-JLAXU,Yes
4086-YQSNZ,No
6242-MBHPK,No
9359-UGBTK,No
0135-NMXAP,Yes
4782-OSFXZ,Yes
6479-OAUSD,No
7129-ACFOG,Yes
4189-NAKJS,Yes
5562-BETPV,No
9127-FHJBZ,Yes
6270-OMFIW,No
1641-RQDAY,Yes
0107-WESLM,No
6994-ORCWG,Yes
1346-UFHAX,Yes
3992-YWPKO,Yes
2933-XEUJM,Yes
0125-LZQXK,No
5461-QKNTN,Yes
4835-YSJMR,No
8399-YNDCH,No
0887-WBJVH,No
4660-IRIBM,No
5673-FSSMF,Yes
7670-ZBPOQ,Yes
8089-UZWLX,Yes
0080-OROZO,No
3916-NRPAP,No
6807-SIWJI,Yes
8221-HVAYI,Yes
1579-KLYDT,Yes
5232-NXPAY,No
8967-SZQAS,No
4468-KAZHE,No
0455-ENTCR,Yes
8944-AILEF,No
5542-NKVRU,No
7126-RBHSD,Yes
5370-IIVVL,Yes
6789-HJBWG,No
3927-NLNRY,No
9087-EYCPR,Yes
6358-LYNGM,Yes
6077-BDPXA,No
0013-MHZWF,No
5494-HECPR,No
8268-YDIXR,Yes
9824-BEMCV,No
1373-ORVIZ,Yes
4291-SHSBH,No
6980-IMXXE,No
9866-QEVEE,Yes
9897-KXHCM,No
0040-HALCW,No
0784-GTUUK,Yes
7979-CORPM,Yes
2294-DMMUS,Yes
0872-JCPIB,Yes
9091-WTUUY,No
1618-CFHME,Yes
3165-HDOEW,No
7115-IRDHS,Yes
8496-DMZUK,Yes
2040-VZIKE,Yes
9068-VPWQQ,Yes
0178-SZBHO,Yes
0384-RVBPI,No
1689-MRZQR,No
1299-AURJA,Yes
4525-VZCZG,No
1543-LLLFT,Yes
5835-BEQEU,Yes
2788-CJQAQ,No
5565-FILXA,Yes
0319-QZTCO,No
2120-SMPEX,No
0096-FCPUF,Yes
5552-ZNFSJ,No
2223-KAGMX,No
6507-ZJSUR,No
9408-HRXRK,Yes
5593-SUAOO,Yes
7321-PKUYW,Yes
2833-SLKDQ,No
6766-HFKLA,Yes
7595-EUIVN,No
7617-EYGLW,No
2026-TGDHM,No
9220-ZNKJI,No
2226-ICFDO,Yes
5529-GIBVH,No
4187-CINZD,No
9992-UJOEL,No
4741-WWJQZ,No
6625-UTXEW,No
6818-WOBHJ,Yes
6244-BESBM,No
1004-NOZNR,No
1251-STYSZ,Yes
2612-PHGOX,Yes
2408-TZMJL,Yes
8480-PPONV,Yes
8780-IHCRN,Yes
1257-SXUXQ,No
9681-KYGYB,Yes
7182-OVLBJ,Yes
5095-ETBRJ,No
7005-CYUIL,No
4821-WQOYN,No
3452-FLHYD,No
2388-LAESQ,Yes
