customerID,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
9286-BHDQG,DSL,Yes,Yes,Yes,Yes,No,No
0230-WEQUW,DSL,Yes,Yes,Yes,Yes,Yes,No
2040-LDIWQ,DSL,No,Yes,Yes,Yes,Yes,Yes
6496-JDSSB,Fiber optic,No,No,No,No,Yes,No
9408-SSNVZ,Fiber optic,No,No,No,No,No,No
0742-MOABM,DSL,No,No,No,Yes,No,No
6778-JFCMK,DSL,Yes,No,No,No,Yes,Yes
6341-JVQGF,DSL,Yes,No,Yes,Yes,Yes,Yes
2232-DMLXU,DSL,No,No,No,No,Yes,No
4811-JBUVU,Fiber optic,No,No,No,Yes,No,Yes
0945-TSONX,DSL,Yes,Yes,No,Yes,Yes,Yes
2651-ZCBXV,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
3316-UWXUY,Fiber optic,Yes,Yes,No,Yes,No,Yes
8937-RDTHP,Fiber optic,Yes,No,No,No,No,Yes
1251-KRREG,DSL,No,Yes,No,No,No,No
0621-JFHOL,DSL,No,No,No,Yes,No,No
9903-LYSAB,Fiber optic,No,No,No,No,No,No
0094-OIFMO,Fiber optic,No,Yes,No,No,Yes,Yes
7301-ABVAD,DSL,No,Yes,Yes,Yes,Yes,Yes
6614-FHDBO,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
7576-ASEJU,DSL,Yes,No,No,Yes,Yes,Yes
9058-HRZSV,Fiber optic,Yes,Yes,Yes,No,No,Yes
4522-AKYLR,DSL,No,Yes,Yes,No,No,No
0221-WMXNQ,Fiber optic,Yes,No,No,No,No,No
0303-UNCIP,DSL,No,No,Yes,No,No,Yes
9947-OTFQU,Fiber optic,No,Yes,No,No,No,No
0322-YINQP,DSL,Yes,No,No,No,No,No
0959-WHOKV,Fiber optic,Yes,Yes,Yes,No,No,Yes
4075-JFPGR,Fiber optic,Yes,Yes,Yes,No,Yes,No
4629-NRXKX,Fiber optic,No,No,No,No,No,No
9514-JDSKI,DSL,No,Yes,No,No,Yes,No
3282-ZISZV,DSL,No,Yes,Yes,Yes,Yes,Yes
4111-BNXIF,DSL,No,Yes,Yes,Yes,Yes,Yes
7017-VFHAY,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
6655-LHBYW,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
4959-JOSRX,DSL,No,No,No,No,No,No
5046-NUHWD,DSL,Yes,No,Yes,No,No,Yes
7273-TEFQD,DSL,No,No,Yes,No,No,Yes
3606-TWKGI,Fiber optic,No,Yes,Yes,No,Yes,Yes
7529-ZDFXI,Fiber optic,No,Yes,No,No,No,Yes
7605-BDWDC,DSL,Yes,Yes,No,Yes,No,Yes
1950-KSVVJ,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0123-CRBRT,DSL,Yes,Yes,Yes,Yes,Yes,Yes
3197-ARFOY,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
4385-GZQXV,Fiber optic,No,No,No,Yes,Yes,Yes
7633-MVPUY,DSL,Yes,Yes,No,Yes,No,No
6366-ZGQGL,DSL,No,No,No,No,No,No
4716-HHKQH,Fiber optic,No,Yes,No,Yes,Yes,Yes
5940-AHUHD,Fiber optic,No,No,No,No,No,No
6432-TWQLB,Fiber optic,No,Yes,No,Yes,No,No
4484-GLZOU,Fiber optic,No,Yes,Yes,No,Yes,Yes
3179-GBRWV,DSL,Yes,Yes,No,No,No,Yes
8645-KWHJO,DSL,No,No,Yes,Yes,Yes,Yes
4130-MZLCC,DSL,No,Yes,No,No,No,No
0314-TKOSI,DSL,Yes,Yes,No,No,No,No
8229-MYEJZ,DSL,No,Yes,No,No,No,No
9577-WJVCQ,DSL,Yes,No,No,No,No,No
9512-UIBFX,Fiber optic,No,No,Yes,No,Yes,Yes
6202-DYYFX,Fiber optic,No,No,No,No,No,No
3808-HFKDE,DSL,No,No,No,No,No,No
5583-SXDAG,Fiber optic,No,No,No,No,No,No
3488-PGMQJ,Fiber optic,No,Yes,No,No,No,No
3580-REOAC,DSL,No,No,No,No,No,No
7534-BFESC,Fiber optic,No,No,No,No,No,No
3727-OWVYD,DSL,Yes,Yes,Yes,No,No,No
2294-SALNE,Fiber optic,No,Yes,Yes,Yes,No,No
4847-TAJYI,Fiber optic,No,No,No,No,Yes,Yes
6556-DBKZF,Fiber optic,No,No,Yes,No,No,No
6851-WEFYX,Fiber optic,No,No,Yes,No,Yes,Yes
2985-JUUBZ,DSL,No,No,Yes,No,Yes,Yes
6390-DSAZX,Fiber optic,Yes,No,No,No,No,No
0895-LMRSF,DSL,No,No,No,No,Yes,Yes
8098-LLAZX,Fiber optic,No,No,No,No,Yes,Yes
8266-VBFQL,Fiber optic,No,No,Yes,Yes,No,Yes
8181-YHCMF,DSL,No,Yes,Yes,Yes,Yes,Yes
2240-HSJQD,Fiber optic,No,Yes,No,No,No,No
0265-EDXBD,Fiber optic,No,No,No,No,No,No
4115-BNPJY,DSL,No,No,Yes,Yes,Yes,Yes
3167-SNQPL,Fiber optic,No,Yes,No,No,Yes,Yes
4091-TVOCN,DSL,Yes,No,Yes,No,Yes,Yes
7277-OZCGZ,Fiber optic,Yes,No,No,Yes,No,Yes
1557-EMYVT,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
2799-ARNLO,Fiber optic,No,No,No,No,No,No
7563-BIUPC,Fiber optic,No,No,No,No,Yes,No
5027-YOCXN,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
2321-OMBXY,DSL,Yes,Yes,No,Yes,Yes,Yes
2840-XANRC,Fiber optic,No,No,Yes,No,Yes,Yes
6745-JEFZB,Fiber optic,No,No,No,Yes,Yes,No
5020-ZSTTY,DSL,Yes,Yes,No,Yes,Yes,Yes
9880-TDQAC,DSL,No,Yes,Yes,Yes,Yes,Yes
8705-WZCYL,DSL,No,No,No,No,No,No
7102-JJVTX,DSL,Yes,No,No,No,No,No
8626-PTQGE,DSL,Yes,Yes,No,Yes,Yes,Yes
4983-CLMLV,Fiber optic,No,Yes,No,Yes,Yes,Yes
5701-YVSVF,Fiber optic,No,No,No,Yes,Yes,No
5804-LEPIM,Fiber optic,No,No,No,No,No,No
5697-GOMBF,DSL,No,No,No,No,Yes,No
2739-CACDQ,Fiber optic,No,No,Yes,No,No,No
2379-GYFLQ,Fiber optic,No,Yes,Yes,No,Yes,No
0122-OAHPZ,Fiber optic,No,No,No,No,No,No
2868-SNELZ,Fiber optic,No,No,Yes,No,No,No
4322-RCYMT,DSL,No,Yes,Yes,Yes,No,Yes
6680-NENYN,Fiber optic,No,Yes,Yes,No,Yes,Yes
2088-IEBAU,DSL,Yes,Yes,Yes,Yes,Yes,Yes
7982-VCELR,Fiber optic,No,Yes,No,No,Yes,Yes
1343-EHPYB,Fiber optic,No,Yes,Yes,No,Yes,Yes
6035-BXTTY,DSL,No,Yes,No,Yes,No,No
6885-PKOAM,DSL,Yes,Yes,Yes,Yes,Yes,Yes
7520-HQWJU,DSL,Yes,Yes,Yes,No,No,No
0021-IKXGC,Fiber optic,No,No,No,No,No,No
2034-GDRCN,Fiber optic,No,No,No,No,Yes,Yes
6243-OZGFH,DSL,No,No,No,No,Yes,Yes
4654-DLAMQ,Fiber optic,Yes,Yes,Yes,No,No,Yes
0513-RBGPE,DSL,Yes,No,Yes,Yes,No,No
5160-UXJED,DSL,No,No,No,No,No,No
4115-NZRKS,Fiber optic,No,No,No,No,Yes,Yes
0219-YTZUE,Fiber optic,No,Yes,Yes,No,No,No
0623-IIHUG,DSL,Yes,No,No,No,Yes,No
4572-DVCGN,Fiber optic,No,No,No,No,No,Yes
3351-NGXYI,DSL,Yes,No,No,No,No,No
8984-EYLLL,Fiber optic,No,Yes,No,Yes,Yes,Yes
9057-MSWCO,DSL,Yes,No,No,No,No,No
9833-TGFHX,Fiber optic,Yes,No,No,No,Yes,Yes
5229-DTFYB,Fiber optic,No,Yes,No,Yes,Yes,Yes
0104-PPXDV,DSL,No,No,Yes,No,No,No
3583-KRKMD,Fiber optic,No,No,No,Yes,No,No
1010-DIAUQ,Fiber optic,No,No,Yes,No,Yes,Yes
9069-LGEUL,DSL,Yes,No,No,No,No,Yes
9571-EDEBV,Fiber optic,No,No,Yes,No,Yes,Yes
3520-FJGCV,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0259-GBZSH,Fiber optic,No,No,No,No,Yes,No
6122-EFVKN,DSL,Yes,No,No,Yes,No,No
2805-EDJPQ,Fiber optic,No,Yes,Yes,Yes,No,Yes
6862-CQUMB,Fiber optic,No,Yes,No,No,Yes,Yes
7156-MXBJE,DSL,No,Yes,Yes,Yes,Yes,Yes
6158-HDPXZ,DSL,No,No,No,No,No,No
9601-BRXPO,Fiber optic,No,No,Yes,Yes,Yes,Yes
2863-IMQDR,DSL,Yes,Yes,Yes,Yes,Yes,Yes
5686-CMAWK,Fiber optic,No,No,Yes,Yes,No,No
5651-CRHKQ,Fiber optic,No,Yes,Yes,Yes,No,No
6905-NIQIN,DSL,No,Yes,No,No,No,No
8204-YJCLA,DSL,Yes,Yes,Yes,Yes,Yes,Yes
5167-ZFFMM,Fiber optic,No,Yes,No,No,No,Yes
6583-SZVGP,Fiber optic,No,Yes,Yes,No,Yes,Yes
0533-BNWKF,Fiber optic,No,Yes,Yes,No,No,No
1708-PBBOA,DSL,Yes,Yes,Yes,Yes,No,Yes
8782-LKFPK,Fiber optic,No,No,Yes,No,No,Yes
5522-JBWMO,DSL,No,No,No,No,No,No
3597-MVHJT,Fiber optic,No,No,No,No,Yes,Yes
9774-NRNAU,DSL,No,Yes,Yes,Yes,Yes,Yes
0224-RLWWD,DSL,No,No,No,No,No,No
3951-NJCVI,Fiber optic,No,No,No,No,Yes,Yes
2977-CEBSX,DSL,Yes,Yes,Yes,Yes,Yes,Yes
0177-PXBAT,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
6599-CEBNN,Fiber optic,No,Yes,No,No,No,No
2519-ERQOJ,DSL,No,No,Yes,Yes,Yes,Yes
0979-PHULV,Fiber optic,No,No,Yes,No,Yes,Yes
3067-SVMTC,DSL,Yes,No,No,Yes,No,No
4742-DRORA,Fiber optic,Yes,No,Yes,No,Yes,No
0111-KLBQG,Fiber optic,No,Yes,No,No,Yes,Yes
0334-GDDSO,Fiber optic,No,Yes,No,No,No,No
5233-AOZUF,Fiber optic,No,No,No,No,No,No
5973-EJGDP,Fiber optic,No,Yes,Yes,Yes,No,No
1996-DBMUS,Fiber optic,No,No,No,No,No,No
7916-VCCPB,Fiber optic,No,Yes,No,No,No,No
4686-GEFRM,Fiber optic,No,Yes,Yes,Yes,No,Yes
0578-SKVMF,Fiber optic,No,Yes,No,No,No,Yes
5564-NEMQO,Fiber optic,No,No,Yes,No,No,No
5605-IYGFG,Fiber optic,No,No,No,No,No,No
7663-ZTEGJ,Fiber optic,No,Yes,Yes,Yes,No,Yes
8111-BKVDS,DSL,Yes,Yes,Yes,No,No,No
2055-SIFSS,DSL,No,No,No,No,No,No
2806-MLNTI,Fiber optic,No,Yes,Yes,No,Yes,Yes
8734-DKSTZ,Fiber optic,No,No,No,No,No,Yes
4360-PNRQB,Fiber optic,No,No,No,No,No,No
6152-ONASV,DSL,Yes,No,No,Yes,No,No
7781-HVGMK,DSL,Yes,Yes,Yes,Yes,Yes,Yes
2181-UAESM,DSL,Yes,No,Yes,No,No,No
2957-LOLHO,DSL,No,No,No,No,No,No
2320-SLKMB,DSL,No,No,Yes,Yes,Yes,No
4376-KFVRS,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
5886-VLQVU,Fiber optic,No,No,No,Yes,No,Yes
3577-AMVUX,DSL,No,No,Yes,Yes,No,No
0771-WLCLA,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
5628-RKIFK,Fiber optic,Yes,No,No,No,Yes,Yes
0206-TBWLC,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
2937-FTHUR,DSL,Yes,No,No,No,No,Yes
1910-FMXJM,Fiber optic,No,No,No,No,No,Yes
7752-XUSCI,Fiber optic,No,Yes,Yes,No,Yes,Yes
4110-PFEUZ,Fiber optic,No,No,No,No,No,No
5168-MSWXT,Fiber optic,No,No,Yes,No,Yes,Yes
1090-ESELR,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
5760-WRAHC,DSL,Yes,No,Yes,Yes,No,Yes
8847-GEOOQ,DSL,No,Yes,Yes,Yes,Yes,Yes
0256-LTHVJ,Fiber optic,No,No,No,No,No,Yes
8313-NDOIA,Fiber optic,No,Yes,Yes,No,Yes,Yes
5149-CUZUJ,Fiber optic,No,Yes,Yes,Yes,Yes,No
0942-KOWSM,DSL,No,Yes,Yes,Yes,Yes,Yes
1452-VOQCH,Fiber optic,No,No,No,No,No,No
6614-VBEGU,DSL,No,Yes,No,No,Yes,Yes
0880-TKATG,Fiber optic,No,No,Yes,No,Yes,Yes
3811-VBYBZ,Fiber optic,No,Yes,No,No,Yes,Yes
1480-BKXGA,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
2996-XAUVF,DSL,No,No,No,Yes,No,Yes
9076-AXYIK,Fiber optic,No,No,Yes,Yes,Yes,Yes
5968-XQIVE,Fiber optic,No,Yes,No,No,Yes,No
4640-UHDOS,DSL,No,No,No,No,No,Yes
3583-EKAPL,DSL,No,No,No,No,No,Yes
1304-BCCFO,DSL,No,No,Yes,No,Yes,Yes
4104-PVRPS,DSL,Yes,No,No,Yes,No,No
9399-APLBT,Fiber optic,No,Yes,No,No,No,No
2359-KMGLI,Fiber optic,No,Yes,No,No,No,No
3780-DDGSE,DSL,No,Yes,No,Yes,Yes,Yes
4431-EDMIQ,DSL,Yes,Yes,Yes,Yes,Yes,No
0306-JAELE,Fiber optic,No,No,No,Yes,Yes,Yes
6227-HWPWX,Fiber optic,No,No,No,No,No,No
0447-BEMNG,DSL,Yes,No,Yes,No,No,Yes
4612-SSVHJ,Fiber optic,No,No,No,No,No,Yes
5168-MQQCA,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
5949-XIKAE,Fiber optic,No,Yes,No,No,Yes,No
7971-HLVXI,Fiber optic,No,No,No,No,No,Yes
9094-AZPHK,Fiber optic,No,Yes,No,No,Yes,Yes
3649-JPUGY,DSL,No,Yes,Yes,Yes,Yes,Yes
4472-LVYGI,DSL,Yes,No,Yes,Yes,Yes,No
8372-JUXUI,Fiber optic,No,No,No,No,No,No
3552-CTCYF,Fiber optic,No,Yes,Yes,No,Yes,Yes
6778-YSNIH,DSL,No,Yes,No,No,Yes,No
0388-EOPEX,Fiber optic,Yes,No,No,No,No,No
5756-OZRIO,DSL,No,Yes,No,No,No,Yes
8205-OTCHB,DSL,No,Yes,Yes,No,No,Yes
4134-BSXLX,DSL,Yes,Yes,No,Yes,No,No
6235-VDHOM,DSL,No,Yes,No,No,No,No
7783-YKGDV,Fiber optic,Yes,Yes,Yes,No,No,Yes
4374-YMUSQ,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
4513-CXYIX,Fiber optic,Yes,No,No,No,No,No
3957-HHLMR,DSL,Yes,No,No,No,No,Yes
7803-XOCCZ,Fiber optic,Yes,No,Yes,Yes,No,No
5736-YEJAX,DSL,Yes,Yes,Yes,Yes,Yes,No
5609-CEBID,Fiber optic,No,Yes,Yes,No,No,Yes
8981-FJGLA,Fiber optic,No,No,Yes,No,No,No
7218-HKQFK,Fiber optic,No,No,No,Yes,Yes,Yes
4636-QRJKY,Fiber optic,No,No,No,Yes,No,No
4332-MUOEZ,Fiber optic,Yes,No,Yes,Yes,No,Yes
8535-SFUTN,Fiber optic,Yes,No,Yes,No,Yes,Yes
5956-VKDTT,Fiber optic,No,No,No,No,No,No
8677-HDZEE,Fiber optic,No,Yes,No,Yes,Yes,Yes
2475-MROZF,Fiber optic,Yes,Yes,Yes,Yes,No,No
9412-GHEEC,Fiber optic,No,No,Yes,Yes,Yes,Yes
3482-ABPKK,DSL,Yes,No,No,Yes,No,No
6705-LXORM,Fiber optic,No,No,No,No,No,No
0257-ZESQC,Fiber optic,Yes,No,No,No,No,No
5174-ITUMV,Fiber optic,No,Yes,Yes,No,Yes,Yes
4109-CYRBD,DSL,No,No,No,No,No,No
0913-XWSCN,Fiber optic,No,No,No,No,No,Yes
6825-UYPFK,Fiber optic,No,No,No,No,No,No
8397-MVTAZ,Fiber optic,No,No,Yes,No,Yes,Yes
0750-EBAIU,Fiber optic,Yes,No,Yes,No,Yes,No
8606-CIQUL,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
3571-DPYUH,Fiber optic,No,Yes,No,Yes,Yes,No
0356-OBMAC,Fiber optic,No,Yes,Yes,Yes,Yes,No
4234-XTNEA,Fiber optic,No,No,No,No,Yes,No
1297-VQDRP,Fiber optic,No,No,Yes,Yes,Yes,Yes
